Key,Id,Korean(ko),English(en)
TEST_KEY,9.75364E+11,테스트,Test
EXPLORE,,EXPLORE,EXPLORE
PROMPT_CALL_SPACESHIP,,우주선 부르기,Call Spaceship
PROMPT_RIDE_SPACESHIP,,우주선 타기,Ride Spaceship
CONFIRM_RETURN_TOWN,,탐사를 마치고 마을로 돌아가시겠습니까?,Finish exploration and return to town?
CONFIRM_WALK_TO_TOWN,,정말로 걸어서 마을로 돌아가시겠습니까?,Are you sure you want to walk back to town?
PROMPT_EXPLORE_DEEPER,,더 깊은 곳 탐사하기,Explore Deeper
CONFIRM_MOVE_NEXT_AREA,,다음 구역으로 이동하시겠습니까?,Move to the next area?
NOTI_TEMP_DROP,,저녁이 되어 기온이 급격히 떨어집니다.,"Evening has fallen, and the temperature is dropping rapidly."
NOTI_TOO_COLD,,지금 나가기에는 너무 춥고 위험합니다.,It`s too cold and dangerous to go out right now.
NOTI_EXPLORE_RETRY,,복잡한 길 때문에 되돌아왔다…,Turned back due to the complicated path...
EXPLORE_PATH_CLEAR,,이제 길을 확실히 알 것 같다.,I think I know the way clearly now.
EXPLORE_PATH_FAMILIAR,,어느 정도 길이 익숙해졌다.,I`ve gotten somewhat used to the path.
EXPLORE_PATH_CONFUSED,,아직 길이 헷갈린다…,I`m still confused about the path...
RESULT_EXPLORE_SUCCESS,,탐사 성공,Exploration Successful
RESULT_DESC_SUCCESS_SAFE,,우주선을 타고 마을로 무사히 귀환합니다.,Safely returning to town via spaceship.
RESULT_EXPLORE_COMPLETE,,탐사 완료,Exploration Complete
RESULT_DESC_SUCCESS_WALK,,걸어서 마을로 귀환합니다.\n돌아가는 길에 몇몇 아이템을 잃어버렸습니다.,Returning to town on foot.\nLost some items on the way back.
RESULT_EXPLORE_FAIL,,탐사 실패,Exploration Failed
RESULT_DESC_FAIL,,구조대에 의해\n병원으로 이송됩니다.\n아이템을 모두 잃어버렸습니다.,Rescued and transported to the hospital.\nLost all items.
UI_STAGE_AREA_FORMAT,,{0} {1:00} 구역,{0} Area {1:00}
UI_TIME_UNTIL_SUNSET,,일몰까지 예상시간 {0:D2}:{1:D2},Est. time until sunset {0:D2}:{1:D2}
CONFIRM_START_EXPLORE,,{0} {1:00} 구역 탐사를 시작하시겠습니까?,Start exploring {0} Area {1:00}?
PROMPT_DOOR_ENTER,,{0} 들어가기,Enter {0}
PROMPT_DOOR_EXIT,,{0} 나가기,Exit {0}
PROMPT_ACTION_ATTACK,,[LMB] 공격,[LMB] Attack
PROMPT_ACTION_MINE,,[RMB] 채광,[RMB] Mine
PROMPT_SLEEP,,잠자기,Sleep
CONFIRM_SLEEP,,잠자리에 드시겠습니까?,Would you like to go to sleep?
MYSHOP,,MYSHOP,MYSHOP
PROMPT_OPEN_DISPLAY_STAND,,진열대 열기,Open Display Stand
PROMPT_START_SHOP_OP,,상점 운영 시작하기,Start Shop Operation
CONFIRM_START_SHOP,,영업을 시작하겠습니까?,Would you like to open the shop?
NOTI_SHOP_OPENED,,영업이 시작되었습니다,The shop is now open.
PROMPT_EARLY_CLOSE_SHOP,,상점 일찍 마감하기,Close Shop Early
NOTI_SHOP_EARLY_CLOSE,,영업을 조기 마감합니다.,Closing the shop early.
PROMPT_CLOSE_SHOP,,상점 마감하기,Close Shop
NOTI_SHOP_CLOSED,,영업이 종료되었습니다,The shop is now closed.
NOTI_SHOP_EVENING_ONLY,,상점 영업은 저녁부터 가능합니다.,The shop only opens in the evening.
NOTI_CANNOT_EXIT_SHOP,,영업 중에는 나갈 수 없습니다.,You cannot leave while the shop is open.
BTN_STOP_SALE,,판매 중지,Stop Selling
BTN_START_SALE,,판매 시작,Start Selling
PROMPT_CHECKOUT,,물건 결제해주기,Checkout Items
NOTI_NO_WAITING_CUSTOMER,,대기 중인 손님이 없습니다.,No customers waiting.
ITEM_STOCK_UNLIMITED,,재고: 무제한,Stock: Unlimited
NOTI_NOT_ENOUGH_MONEY,,돈이 부족합니다.,Not enough money.
UI_WARNING_DROPPED_ITEM,,<color={0}>(바닥에 떨어진 아이템은 사라집니다)</color>,<color={0}>(Items dropped on the floor will disappear)</color>
CONFIRM_EARLY_CLOSE,,아직 영업 중입니다.\n지금 마감하고 정산하겠습니까?\n{0},The shop is still open.\nClose now and settle the accounts?\n{0}
CONFIRM_SHOP_SETTLEMENT,,영업이 종료되었습니다.\n오늘의 정산 내역을 확인하겠습니까?\n{0},The shop is closed.\nWould you like to check today`s settlement?\n{0}
UI_REGISTERED_PRICE,,등록한 가격: {0:N0} {1},Registered Price: {0:N0} {1}
UI_BROUGHT_AMOUNT,,가져온 개수: {0} 개,Amount Brought: {0}
NOTI_NOT_ENOUGH_ITEM,,{0}이(가) 부족합니다.,Not enough {0}.
ITEM_INFO_PRICE,,가격: {0:N0} {1},Price: {0:N0} {1}
ITEM_INFO_WEIGHT,,무게: {0:F1}kg,Weight: {0:F1}kg
ITEM_INFO_STOCK,,재고: {0}개,Stock: {0}
RECEIPT_MISTAKE_PENALTY,,({0}회) - {1:F0}%,({0} times) - {1:F0}%
RECEIPT_TOTAL_RENT_RATE,,- {0:F0}% : - {1:N0} {2},- {0:F0}% : - {1:N0} {2}
RECEIPT_FAKE_BILL_COUNT,,{0:N0} x {1},{0:N0} x {1}
NPC,,NPC,NPC
PROMPT_TALK,,대화하기,Talk
PROMPT_TALK_TO_NPC,,{0} 대화하기,Talk to {0}
NPC_SAY_NOTHING_TO_BUY,,여긴 살만한게 없네,Nothing worth buying here.
